expense_type,expense_date,expense_amount
Rent,2018-01-01,100
Miscellaneous,2018-01-04,200
Entertainment,2018-01-07,300
Food,2018-01-10,400
Entertainment,2018-01-13,500
Education,2018-01-16,600
Rent,2018-01-19,700
Miscellaneous,2018-01-22,800
Entertainment,2018-01-25,900
Rent,2018-01-28,1000
Utilities,2018-01-31,1100
Rent,2018-02-03,1200
Entertainment,2018-02-06,1300
Food,2018-02-09,1400
Rent,2018-02-12,1500
Food,2018-02-15,1600
Travel,2018-02-18,1700
Food,2018-02-21,1800
Utilities,2018-02-24,1900
Rent,2018-02-27,2000
Food,2018-03-02,2100
Insurance,2018-03-05,2200
Travel,2018-03-08,2300
Insurance,2018-03-11,2400
Food,2018-03-14,2500
Education,2018-03-17,2600
Insurance,2018-03-20,2700
Utilities,2018-03-23,2800
Food,2018-03-26,2900
Education,2018-03-29,3000
Education,2018-04-01,3100
Insurance,2018-04-04,3200
Insurance,2018-04-07,3300
Travel,2018-04-10,3400
Travel,2018-04-13,3500
Entertainment,2018-04-16,3600
Travel,2018-04-19,3700
Insurance,2018-04-22,3800
Education,2018-04-25,3900
Insurance,2018-04-28,4000
Food,2018-05-01,4100
Education,2018-05-04,4200
Education,2018-05-07,4300
Utilities,2018-05-10,4400
Food,2018-05-13,4500
Travel,2018-05-16,4600
Education,2018-05-19,4700
Rent,2018-05-22,4800
Miscellaneous,2018-05-25,4900
Entertainment,2018-05-28,5000
Utilities,2018-05-31,5100
Rent,2018-06-03,5200
Education,2018-06-06,5300
Entertainment,2018-06-09,5400
Education,2018-06-12,5500
Insurance,2018-06-15,5600
Rent,2018-06-18,5700
Food,2018-06-21,5800
Entertainment,2018-06-24,5900
Food,2018-06-27,6000
Food,2018-06-30,6100
Insurance,2018-07-03,6200
Travel,2018-07-06,6300
Insurance,2018-07-09,6400
Travel,2018-07-12,6500
Travel,2018-07-15,6600
Utilities,2018-07-18,6700
Miscellaneous,2018-07-21,6800
Education,2018-07-24,6900
Travel,2018-07-27,7000
Travel,2018-07-30,7100
Travel,2018-08-02,7200
Education,2018-08-05,7300
Insurance,2018-08-08,7400
Travel,2018-08-11,7500
Insurance,2018-08-14,7600
Entertainment,2018-08-17,7700
Education,2018-08-20,7800
Miscellaneous,2018-08-23,7900
Rent,2018-08-26,8000
Insurance,2018-08-29,8100
Education,2018-09-01,8200
Rent,2018-09-04,8300
Entertainment,2018-09-07,8400
Travel,2018-09-10,8500
Travel,2018-09-13,8600
Miscellaneous,2018-09-16,8700
Utilities,2018-09-19,8800
Insurance,2018-09-22,8900
Education,2018-09-25,9000
Travel,2018-09-28,9100
Utilities,2018-10-01,9200
Insurance,2018-10-04,9300
Insurance,2018-10-07,9400
Insurance,2018-10-10,9500
Miscellaneous,2018-10-13,9600
Travel,2018-10-16,9700
Travel,2018-10-19,9800
Education,2018-10-22,9900
Rent,2018-10-25,10000
Travel,2018-10-28,10100
Utilities,2018-10-31,10200
Travel,2018-11-03,10300
Insurance,2018-11-06,10400
Utilities,2018-11-09,10500
Education,2018-11-12,10600
Utilities,2018-11-15,10700
Education,2018-11-18,10800
Insurance,2018-11-21,10900
Utilities,2018-11-24,11000
Utilities,2018-11-27,11100
Travel,2018-11-30,11200
Insurance,2018-12-03,11300
Travel,2018-12-06,11400
Insurance,2018-12-09,11500
Rent,2018-12-12,11600
Insurance,2018-12-15,11700
Rent,2018-12-18,11800
